step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
995.0,13,432.0,11.675675675675675,6.466977414287198,4,194.0,0.39799358955590286,9,241.0,0.12382100154450965,13,435.0
1000.0,14,502.0,16.193548387096776,5.258209652383552,4,214.0,0.2811199348675558,10,291.0,0.07524215073681809,14,505.0
1005.0,16,551.0,20.40740740740741,3.0275874473624613,5,237.0,0.13928391049130256,10,331.0,0.007435926134644663,15,568.0
1010.0,14,612.0,21.857142857142858,3.9623858914652224,5,261.0,0.2610411433162906,9,357.0,0.0,14,618.0
1015.0,15,682.0,24.357142857142858,5.306481009587584,5,283.0,0.4683070145007139,9,402.0,0.18801241446120476,14,685.0
1020.0,15,570.0,17.272727272727273,4.304413187894391,4,198.0,0.30462229005138436,11,450.0,0.0721873590568145,15,648.0
1025.0,14,527.0,14.63888888888889,5.6445138320407136,2,63.0,0.4455964531048098,11,505.0,0.10850781448568295,13,568.0
1030.0,18,602.0,17.705882352941178,4.658348671054545,6,82.0,0.231783588371289,12,561.0,0.11967874254886698,18,643.0
1035.0,18,692.0,21.625,4.582854312712258,6,112.0,0.24112553254241062,12,621.0,0.1670083066192539,18,733.0
1040.0,16,741.0,23.903225806451612,3.8200763840616694,3,100.0,0.43026584331800577,13,683.0,0.004111734810182669,16,783.0
1045.0,17,815.0,26.29032258064516,4.703748942818335,4,115.0,0.16581705714346182,12,747.0,0.13960628893599888,16,862.0
1050.0,16,894.0,27.9375,5.489475832373477,4,134.0,0.19719777087802834,12,804.0,0.22722541379513173,16,938.0
1055.0,17,976.0,30.5,5.344572052373856,5,156.0,0.1561318618532119,12,864.0,0.17493848823037214,17,1020.0
